m1_source,m2_source,dL,z,likelihood,posterior
9.081448539905212058e+00,1.899619336740916431e+00,2.709358599999999910e+02,5.876122710489509182e-02,1.215555923129697160e-05,1.215555923129697160e-05
8.441406946604228523e+00,2.046659338298066899e+00,2.055074009714699343e+02,4.501039249879640325e-02,2.168633608782026537e-05,2.168633608782026537e-05
9.506627860244092787e+00,1.812180188232952460e+00,3.104532942035972383e+02,6.694598333755301389e-02,9.116723148368095111e-06,9.116723148368095111e-06
8.782714992981043522e+00,1.954469348751540325e+00,2.615968454841535049e+02,5.681396360975422832e-02,1.308696417219317038e-05,1.308696417219317038e-05
7.451002094030220846e+00,2.151734665848916261e+00,3.437491887679664728e+02,7.377508120925302393e-02,7.342026840125026429e-06,7.342026840125026429e-06
7.697285718510734398e+00,2.137085595513650293e+00,2.952218251672132965e+02,6.380168120063793580e-02,1.014129187900078824e-05,1.014129187900078824e-05
9.108966110757757306e+00,1.900934213335515377e+00,2.575499300000000176e+02,5.596857898506688023e-02,1.352305586540232673e-05,1.352305586540232673e-05
8.084229497784551910e+00,2.050494858743181492e+00,2.991053712600829044e+02,6.460460807824437712e-02,9.864785159940692803e-06,9.864785159940692803e-06
8.651621233950434586e+00,2.059801188441132691e+00,1.430787481027548722e+02,3.164354997864096686e-02,4.590396663679644911e-05,4.590396663679644911e-05
9.444160655795521109e+00,1.880201163476192594e+00,2.154887500000000102e+02,4.712476422469213250e-02,1.964444201465427584e-05,1.964444201465427584e-05
8.569812836599705719e+00,1.942352633811030849e+00,3.349836199999999735e+02,7.198304970742612496e-02,7.757119019295023569e-06,7.757119019295023569e-06
9.390591122248075351e+00,1.937128441454181393e+00,1.450826500000000010e+02,3.207652998950002304e-02,4.460728615885797046e-05,4.460728615885797046e-05
8.012042601929573848e+00,2.101949437038675317e+00,2.491127852098878463e+02,5.420301050596740278e-02,1.450295276848136340e-05,1.450295276848136340e-05
9.779364466213642970e+00,1.734110713818152627e+00,3.781830305090478532e+02,8.077539276851547489e-02,5.987709258242805159e-06,5.987709258242805159e-06
8.995235990974853379e+00,1.972000303934935861e+00,1.839109565264096204e+02,4.041440800870232941e-02,2.731787035309230386e-05,2.731787035309230386e-05
8.855244136604875749e+00,1.849279174810989579e+00,4.095466999999999871e+02,8.709832857198149259e-02,5.046608745832009075e-06,5.046608745832009075e-06
8.911923677172856273e+00,2.033294972606713991e+00,1.164311200000000071e+02,2.586025544826651285e-02,7.010274530192976477e-05,7.010274530192976477e-05
7.612753134520022336e+00,2.136305342503342697e+00,3.141753219640983730e+02,6.771237840940887154e-02,8.889239283428548527e-06,8.889239283428548527e-06
8.976148849053316781e+00,1.976955000085013570e+00,1.799570500000000095e+02,3.956979289443741249e-02,2.857776869419521859e-05,2.857776869419521859e-05
9.226304656148018424e+00,1.905361788593845196e+00,2.235579600000000084e+02,4.882963013277220876e-02,1.819274895986787731e-05,1.819274895986787731e-05
1.189528109122502286e+01,1.545952710581768308e+00,2.964428300000000149e+02,6.405421636795530227e-02,1.005315800728282893e-05,1.005315800728282893e-05
9.981755748043561027e+00,1.743249421256236165e+00,3.211207200000000057e+02,6.914046680532213995e-02,8.486198118046858190e-06,8.486198118046858190e-06
8.763152612530953789e+00,1.918533269780248629e+00,3.198650700000000029e+02,6.888248033086684374e-02,8.557076935455644080e-06,8.557076935455644080e-06
6.859551445783298895e+00,2.412029860070434850e+00,2.135318699999999978e+02,4.671071523396275182e-02,2.002194884649506794e-05,2.002194884649506794e-05
8.742409957747021565e+00,1.909815620810900283e+00,3.401779300000000035e+02,7.304546976627376842e-02,7.507172986618528804e-06,7.507172986618528804e-06
9.079235416873803644e+00,1.895874101305865089e+00,2.734568100000000186e+02,5.928600354670991029e-02,1.192067435020510435e-05,1.192067435020510435e-05
9.503012715690230650e+00,1.880035728301006959e+00,2.011244399999999928e+02,4.407999829550295068e-02,2.268211612736092901e-05,2.268211612736092901e-05
9.353931853965338661e+00,1.888817820188772867e+00,2.208789199999999937e+02,4.826404052144960682e-02,1.865682240069129808e-05,1.865682240069129808e-05
9.305251144232052241e+00,1.945667715909924933e+00,1.500146699999999953e+02,3.314105669884073041e-02,4.163664310378315713e-05,4.163664310378315713e-05
9.247744915720586434e+00,1.900569197616833739e+00,2.295431100000000129e+02,5.009162649933646821e-02,1.721502254474370421e-05,1.721502254474370421e-05
9.540710346326493507e+00,1.849829655375265558e+00,2.391178785282561137e+02,5.210603202613320328e-02,1.580340141053686727e-05,1.580340141053686727e-05
8.468859632483887623e+00,1.960206106583994412e+00,3.321319799999999987e+02,7.139917223291655790e-02,7.899481770593230610e-06,7.899481770593230610e-06
7.839974042853167902e+00,2.098115933137620015e+00,3.035373547696017908e+02,6.551989079385264758e-02,9.562394841213509421e-06,9.562394841213509421e-06
8.657896703135778083e+00,1.930905327177895980e+00,3.245213400000000092e+02,6.983872845759675485e-02,8.298454446441346906e-06,8.298454446441346906e-06
1.242484570020586965e+01,1.530884046287864342e+00,2.293310314273998074e+02,5.004694465200732606e-02,1.724834212422888822e-05,1.724834212422888822e-05
9.126781875451721149e+00,1.871358557940654865e+00,3.015283847878848178e+02,6.510513698355237244e-02,9.697775204606733063e-06,9.697775204606733063e-06
8.660292284908212679e+00,1.927026309884152022e+00,3.289287199999999984e+02,7.074277575589682510e-02,8.063948910047289597e-06,8.063948910047289597e-06
9.040377726441874984e+00,1.917082171900715393e+00,2.524406600000000083e+02,5.489990447041482452e-02,1.410447526241798838e-05,1.410447526241798838e-05
8.879942673917794238e+00,2.032115920102392170e+00,1.281792800000000057e+02,2.841583953276562505e-02,5.755472342726553221e-05,5.755472342726553221e-05
