m1_source,m2_source,dL,z,likelihood,posterior
6.730035015940171839e+00,1.330631315222747357e+00,2.329896699999999896e+02,5.081737067486138959e-02,1.668644574145386803e-05,1.668644574145386803e-05
5.779066694158944806e+00,1.405971911100726279e+00,4.152730500000000120e+02,8.824741655196906287e-02,4.898046249895428070e-06,4.898046249895428070e-06
4.990716703479480820e+00,1.597738718077488684e+00,3.759708274597436457e+02,8.032751928515215190e-02,6.063395436225903905e-06,6.063395436225903905e-06
4.501987550885555578e+00,1.856928769819615521e+00,1.921860688376951032e+02,4.217890157399074164e-02,2.493155287765981445e-05,2.493155287765981445e-05
6.734314043787337667e+00,1.241564371706225245e+00,4.520405900000000088e+02,9.558701183627046905e-02,4.078556716325757344e-06,4.078556716325757344e-06
6.898286350062174499e+00,1.217399732662620915e+00,4.467265601129926722e+02,9.453027804665745104e-02,4.184221569046985231e-06,4.184221569046985231e-06
4.833694492175404811e+00,1.659002404182974955e+00,3.459186700000000201e+02,7.421797310635201705e-02,7.244255568368540656e-06,7.244255568368540656e-06
5.212153385739346945e+00,1.627869298768299666e+00,2.237631468181862999e+02,4.887293073756648898e-02,1.815790299244735207e-05,1.815790299244735207e-05
5.604687115988648216e+00,1.487466351849953128e+00,3.237717827798415442e+02,6.968487306624489286e-02,8.339316235268270217e-06,8.339316235268270217e-06
5.611125963681696582e+00,1.464553722832434346e+00,3.613821399999999926e+02,7.736757989896543564e-02,6.598873771998014323e-06,6.598873771998014323e-06
4.577023203723056710e+00,1.774659416490905306e+00,2.821442540163501462e+02,6.109165074726846667e-02,1.115987401115357421e-05,1.115987401115357421e-05
6.207364267628943111e+00,1.348078982147447924e+00,3.736011899999999741e+02,7.984748614734991923e-02,6.146007194781216529e-06,6.146007194781216529e-06
6.042531642418910387e+00,1.361899535084681867e+00,4.186156368009253015e+02,8.891740736955104640e-02,4.814218186573959805e-06,4.814218186573959805e-06
3.627844251259507935e+00,2.181362269305997525e+00,2.603127499999999941e+02,5.654582571158404264e-02,1.322309253586240935e-05,1.322309253586240935e-05
