m,mean,med,lb,ub,obs_mean,obs_med,obs_lb,obs_ub,m1mean,m1med,m1lb,m1ub,obs_m1mean,obs_m1med,obs_m1lb,obs_m1ub,m2mean,m2med,m2lb,m2ub,obs_m2mean,obs_m2med,obs_m2lb,obs_m2ub
1.610000000000000986e+00,1.139368714754903866e+00,1.919936083556968986e+00,1.663707770411097409e+00,2.116196377802073147e+00,1.211960553804169116e+00,2.045521366304624777e+00,1.729209883725465025e+00,2.275812741703254538e+00,1.311330155405027842e+00,2.181226111312438487e+00,2.014192443904776919e+00,2.383045150759663944e+00,1.182293526130431705e+00,1.968176405002018292e+00,1.771154230890007231e+00,2.178567980795364623e+00,9.674072741047796686e-01,1.658646055801499486e+00,1.313223096917417898e+00,1.849347604844482129e+00,1.241627581477906750e+00,2.122866327607230819e+00,1.687265536560922818e+00,2.373057502611144010e+00
1.620000000000000995e+00,1.137613302752364941e+00,1.915468917929508574e+00,1.662237904417492418e+00,2.113283690462455677e+00,1.219093939747502908e+00,2.055628650524155887e+00,1.740524268472245062e+00,2.289332244302016761e+00,1.349402618735830117e+00,2.244614336302909408e+00,2.068211227174684641e+00,2.455626567882982059e+00,1.234607096189743292e+00,2.054950720254391072e+00,1.845120591866581172e+00,2.278304766732066167e+00,9.258239867688996538e-01,1.586323499556107741e+00,1.256264581660300195e+00,1.770940813041929296e+00,1.203580783305262303e+00,2.056306580793920258e+00,1.635927945077909174e+00,2.300359721871967800e+00
1.630000000000001004e+00,1.136560055550841719e+00,1.912177008673485057e+00,1.661641589997636892e+00,2.110579405119742624e+00,1.227094641085567872e+00,2.069127778313853305e+00,1.752789181720592948e+00,2.305447814901858905e+00,1.372246096734311749e+00,2.281655276786199060e+00,2.100408564630479091e+00,2.499076949937883096e+00,1.270424632857442448e+00,2.115454552679328692e+00,1.896708058599801738e+00,2.347883570994369506e+00,9.008740143673718004e-01,1.542698740560771054e+00,1.222874615364794915e+00,1.722081860301601708e+00,1.183764649313693518e+00,2.022801003948378362e+00,1.608870304841384158e+00,2.263012058809347860e+00
1.640000000000001013e+00,1.135857890749826016e+00,1.910297959250654598e+00,1.660534973016194460e+00,2.109404213269715278e+00,1.235542340965804842e+00,2.083492934467725988e+00,1.764631858143840049e+00,2.322901818151080988e+00,1.387475082066632392e+00,2.307809358421943458e+00,2.120454903504565891e+00,2.528361857871931573e+00,1.297820924306637647e+00,2.162487862684697948e+00,1.934809126343710162e+00,2.400820614313138091e+00,8.842406994330196390e-01,1.512786560079365739e+00,1.200615042527822807e+00,1.690446568667498539e+00,1.173263757624972037e+00,2.004498006250754027e+00,1.594454589943970158e+00,2.244983021989024330e+00
1.650000000000001021e+00,1.133400313946271831e+00,1.903875704760116694e+00,1.658655366789966834e+00,2.104311262445933473e+00,1.241619506699425113e+00,2.092727073128055615e+00,1.775451809013029569e+00,2.337953183196005646e+00,1.440776530729755756e+00,2.395879281700492580e+00,2.194213118555492947e+00,2.630748710366772158e+00,1.370934615347024765e+00,2.286400347294869739e+00,2.039777774295152390e+00,2.544097883779060876e+00,8.260240971627877959e-01,1.411872127819740586e+00,1.123097615024440721e+00,1.577873814525095009e+00,1.112304398051825460e+00,1.899053798961241490e+00,1.511125843730906748e+00,2.131808482612950861e+00
1.660000000000001030e+00,1.131995984344240647e+00,1.900776845815723259e+00,1.657886910622891508e+00,2.102719470270540292e+00,1.249062883464993501e+00,2.105225716056851049e+00,1.787310444454847325e+00,2.353099770046234163e+00,1.471234501394397709e+00,2.446632653507394117e+00,2.238073140964989882e+00,2.689733796492116191e+00,1.417960298875953873e+00,2.366270900464324978e+00,2.107788582716673353e+00,2.635447219874278435e+00,7.927574672940838063e-01,1.354921038124052401e+00,1.077700680280793133e+00,1.515705144048964392e+00,1.080165468054033351e+00,1.844180531649377563e+00,1.466832306193021518e+00,2.070752320218189890e+00
1.670000000000001039e+00,1.129889489941194203e+00,1.895818184699475495e+00,1.655012216784338630e+00,2.101526434838490331e+00,1.255496314979418493e+00,2.115435026772996885e+00,1.795635941564934335e+00,2.368172606985952555e+00,1.516921457391360306e+00,2.522829516064558852e+00,2.300397973416022701e+00,2.779413960968583730e+00,1.484555380122880575e+00,2.480044895525114423e+00,2.198749895837271318e+00,2.765480484875115330e+00,7.428575224910279884e-01,1.268806853334392137e+00,1.009626460152654781e+00,1.423638908708396711e+00,1.026437249835956411e+00,1.750825158020879568e+00,1.392521987292597574e+00,1.970864729096789558e+00
1.680000000000001048e+00,1.127782995538147315e+00,1.891417982064861558e+00,1.651604331801596937e+00,2.096736582995733400e+00,1.261871380858053726e+00,2.124258310000057826e+00,1.803386549122855786e+00,2.383836851561440540e+00,1.562608413388322903e+00,2.599539029063184792e+00,2.361922882683487490e+00,2.865050195256473753e+00,1.552433001920354938e+00,2.595238843348396607e+00,2.290491743635238997e+00,2.897948214462150229e+00,6.929575776879719484e-01,1.183296935066538103e+00,9.412857809197064940e-01,1.328422970734992603e+00,9.713097597957522922e-01,1.653277776651718822e+00,1.316281354610472576e+00,1.869725488660731294e+00
1.690000000000001057e+00,1.125676501135100871e+00,1.886077588334171606e+00,1.649380482039492835e+00,2.095234504503933781e+00,1.268191930023236935e+00,2.133018203940338253e+00,1.810927163297207265e+00,2.399335691405932725e+00,1.608295369385285722e+00,2.676732327529946165e+00,2.426685900181726474e+00,2.953908370268317984e+00,1.621517502149805390e+00,2.711822859846496847e+00,2.383913979432470409e+00,3.032789646884946233e+00,6.430576328849160195e-01,1.095422849138397048e+00,8.720750638972591950e-01,1.236560638739549800e+00,9.148663578966682586e-01,1.554213548034180103e+00,1.237940347161944343e+00,1.765881735926919438e+00
1.700000000000001066e+00,1.124974336334085390e+00,1.884006990275177706e+00,1.648766846872827596e+00,2.094533883999958768e+00,1.276485814950689468e+00,2.145845401528871044e+00,1.821556991331461539e+00,2.415289410350951460e+00,1.623524354717606588e+00,2.701935985661254147e+00,2.448394375780733601e+00,2.983365994129327348e+00,1.652840894256227600e+00,2.763796374793993760e+00,2.427251960932172548e+00,3.093255120028116867e+00,6.264243179505640802e-01,1.066077994889101044e+00,8.491393179649217027e-01,1.205701773870590632e+00,9.001307356451514474e-01,1.527894428263748106e+00,1.215862021730750531e+00,1.737323700673786275e+00
1.710000000000001075e+00,1.122867841931038724e+00,1.878408215681544702e+00,1.644095491509836471e+00,2.093011838261948032e+00,1.282696752897512393e+00,2.152831390358296293e+00,1.829679497361239804e+00,2.430819397274566196e+00,1.669211310714569407e+00,2.777996494850629716e+00,2.509097792233518920e+00,3.073262411576916264e+00,1.724345242850857440e+00,2.883239705813696041e+00,2.528764756338751862e+00,3.229792189047951290e+00,5.765243731475080402e-01,9.788199365124597984e-01,7.790931907861541328e-01,1.112761264946980022e+00,8.410482629441674574e-01,1.422423074902896545e+00,1.130594238383727523e+00,1.631846605501181102e+00
1.720000000000001084e+00,1.122516759530530983e+00,1.876987058363496441e+00,1.643243296087008920e+00,2.092320753347785889e+00,1.291469844007538725e+00,2.167172911496698884e+00,1.842540974208263904e+00,2.447882188909742407e+00,1.676825803380729729e+00,2.790448241722540246e+00,2.519124705789679286e+00,3.087412093124968671e+00,1.746770745994928653e+00,2.920505403344827222e+00,2.561387995483232594e+00,3.272206813433231165e+00,5.682077156803321261e-01,9.635258750044525256e-01,7.673618863843384430e-01,1.097229413570603551e+00,8.361689420201485756e-01,1.413840419648570546e+00,1.123693952933295437e+00,1.623557564386253427e+00
1.730000000000001092e+00,1.122165677130023465e+00,1.875887563285167481e+00,1.642196370960484764e+00,2.091722961729720609e+00,1.300235826287675645e+00,2.181027028613069518e+00,1.855060406808302975e+00,2.464909219955331743e+00,1.684440296046890495e+00,2.803035626513030731e+00,2.529161970989423303e+00,3.101471084572650305e+00,1.769485588092396311e+00,2.958709750368362368e+00,2.594428329901487196e+00,3.315165797921346247e+00,5.598910582131562119e-01,9.487395000573041193e-01,7.552307709315464468e-01,1.081974838886791357e+00,8.309860644829550891e-01,1.403344306857777113e+00,1.115692483715118533e+00,1.614652641989317683e+00
